0	0.000000	0.000000	-0.008497
0.05	0.04500855	0.000439036236319	-0.0110009784375302
0.1	0.0900171	0.000989282705642	-0.0134387380921625
0.15	0.13502565	0.001647758996568	-0.0158102789638969
0.2	0.1800342	0.002411484697696	-0.0181156010527333
0.25	0.22504275	0.003277479397625	-0.0203547043586719
0.3	0.2700513	0.004242762684954	-0.0225275888817125
0.35	0.31505985	0.005304354148282	-0.0246342546218552
0.4	0.3600684	0.006459273376208	-0.0266747015791
0.45	0.40507695	0.007704539957331	-0.0286489297534468
0.5	0.4500855	0.00903717348025	-0.0305569391448958
0.55	0.49509405	0.010454193533564	-0.0323987297534468
0.6	0.5401026	0.011952619705872	-0.0341743015791
0.65	0.58511115	0.013529471585773	-0.0358836546218552
0.7	0.6301197	0.015181768761866	-0.0375267888817125
0.75	0.67512825	0.01690653082275	-0.0391037043586718
0.8	0.7201368	0.018700777357024	-0.0406144010527333
0.85	0.76514535	0.020561527953287	-0.0420588789638969
0.9	0.8101539	0.022485802200138	-0.0434371380921625
0.95	0.85516245	0.024470619686176	-0.0447491784375302
1	0.900171	0.026513	-0.045995
1.05	0.9365282	0.027263335716019	0.00425764567301664
1.1	0.9728854	0.026236971662872	0.0517407865383473
1.15	1.0092426	0.023534599280753	0.096454422595992
1.2	1.0455998	0.019256910009856	0.138398553845951
1.25	1.081957	0.013504595290375	0.177573180288224
1.3	1.1183142	0.006378346562504	0.21397830192281
1.35	1.1546714	-0.002021144733563	0.247613918749711
1.4	1.1910286	-0.011593187157632	0.278480030768926
1.45	1.2273858	-0.022237089269509	0.306576637980455
1.5	1.263743	-0.033852159629	0.331903740384298
1.55	1.3001002	-0.046337706795911	0.354461337980455
1.6	1.3364574	-0.059593039330048	0.374249430768926
1.65	1.3728146	-0.073517465791217	0.391268018749711
1.7	1.4091718	-0.088010294739224	0.40551710192281
1.75	1.445529	-0.102970834733875	0.416996680288224
1.8	1.4818862	-0.118298394334976	0.425706753845951
1.85	1.5182434	-0.133892282102333	0.431647322595992
1.9	1.5546006	-0.149651806595752	0.434818386538347
1.95	1.5909578	-0.165476276375039	0.435219945673017
2	1.627315	-0.181265	0.432852
2.05	1.6635165	-0.195973874428579	0.380299695446632
2.1	1.699718	-0.20883896334053	0.330989617688356
2.15	1.7359195	-0.219977640209176	0.28492176672517
2.2	1.772121	-0.22950727850784	0.242096142557076
2.25	1.8083225	-0.237545251709844	0.202512745184074
2.3	1.844524	-0.24420893328851	0.166171574606163
2.35	1.8807255	-0.249615696717161	0.133072630823343
2.4	1.916927	-0.25388291546912	0.103215913835615
2.45	1.9531285	-0.257127963017709	0.0766014236429776
2.5	1.98933	-0.25946821283625	0.0532291602454319
2.55	2.0255315	-0.261021038398066	0.0330991236429775
2.6	2.061733	-0.26190381317648	0.0162113138356146
2.65	2.0979345	-0.262233910644814	0.00256573082334297
2.7	2.134136	-0.26212870427639	-0.00783762539383724
2.75	2.1703375	-0.261705567544531	-0.0149987548159262
2.8	2.206539	-0.26108187392256	-0.0189176574429235
2.85	2.2427405	-0.260374996883799	-0.0195943332748297
2.9	2.278942	-0.25970230990157	-0.0170287823116445
2.95	2.3151435	-0.259181186449196	-0.0112210045533679
3	2.351345	-0.258929	-0.002171
3.05	2.38756745	-0.258843388176625	-0.00256622926972087
3.1	2.4237899	-0.258742348969954	-0.00302281335315533
3.15	2.46001235	-0.258623659958313	-0.00354075225030338
3.2	2.4962348	-0.258485098720032	-0.00412004596116502
3.25	2.53245725	-0.258324442833438	-0.00476069448574026
3.3	2.5686797	-0.258139469876858	-0.00546269782402909
3.35	2.60490215	-0.257927957428622	-0.00622605597603152
3.4	2.6411246	-0.257687683067056	-0.00705076894174754
3.45	2.67734705	-0.25741642437049	-0.00793683672117715
3.5	2.7135695	-0.25711195891725	-0.00888425931432035
3.55	2.74979195	-0.256772064285666	-0.00989303672117715
3.6	2.7860144	-0.256394518054064	-0.0109631689417475
3.65	2.82223685	-0.255977097800773	-0.0120946559760315
3.7	2.8584593	-0.255517581104122	-0.0132874978240291
3.75	2.89468175	-0.255013745542437	-0.0145416944857403
3.8	2.9309042	-0.254463368694048	-0.015857245961165
3.85	2.96712665	-0.253864228137281	-0.0172341522503034
3.9	3.0033491	-0.253214101450466	-0.0186724133531553
3.95	3.03957155	-0.252510766211929	-0.0201720292697209
4	3.075794	-0.251752	-0.021733
