#reaccoord	energy
0.0	0.0
0.764029	0.022718
1.531564	0.070447
2.300902	0.656399
3.34609	0.167391
4.396061	-0.117403
5.451314	-0.18871
6.504106	-0.221845
7.552973	-0.220197
