#reaccoord	energy
0.0	0.0
1.612148	0.012958
3.226012	0.072336
4.836938	0.337037
6.43544	0.361102
6.836864	0.352158
7.246169	0.345079
8.068852	0.496613
8.883615	0.615743
9.954932	0.537612
11.022027	0.456305
