  0     0.000000     0.000000    -0.013609   0
  1     1.612148     0.012958    -0.060100   1
  2     3.226012     0.072336     0.015567   2
  3     4.836938     0.337037     0.000539   3
  4     6.435440     0.361102    -0.007383   4
  5     6.836864     0.352158     0.014742   5
  6     7.246169     0.345079     0.000000   6
  7     8.068852     0.496613    -0.408762   7
  8     8.883615     0.615743     0.020049   8
  9     9.954932     0.537612     0.126299   9
 10    11.022027     0.456305     0.026388  10
